,Train Category,Scoring Category,Agent,Score
0,train_on_4,score_onall,0-0-0-0,9.0
1,train_on_4,score_onall,1-0-0-0,9.0
2,train_on_4,score_onall,0-0-1-0,4.0
3,train_on_4,score_onall,0-0-0-1,5.0
4,train_on_4,score_onall,1-0-0-1,2.0
5,train_on_4,score_onall,0-1-0-0,3.0
6,train_on_4,score_onall,1-0-1-0,2.0
7,train_on_4,score_onall,0-1-0-1,0.0
8,train_on_4,score_onall,1-1-0-0,1.0
9,train_on_4,score_onwinning,0-0-0-0,0.0
10,train_on_4,score_onwinning,1-0-0-0,5.0
11,train_on_4,score_onwinning,0-0-1-0,5.0
12,train_on_4,score_onwinning,0-1-0-0,5.0
13,train_on_4,score_onwinning,0-0-0-1,5.0
14,train_on_4,score_onwinning,0-1-0-1,6.0
15,train_on_4,score_onwinning,0-0-1-1,6.0
16,train_on_4,score_onwinning,1-0-0-1,8.0
17,train_on_4,score_onwinning,1-1-0-0,4.0
18,train_on_4,score_onwinning,1-0-1-0,4.0
19,train_on_4,score_onwinning,0-1-1-0,4.0
20,train_on_4,score_onwinning,1-1-1-0,3.0
21,train_on_4,score_onlosing,0-0-0-0,8.0
22,train_on_4,score_onlosing,0-1-0-1,0.0
23,train_on_4,score_onlosing,0-1-0-0,5.0
24,train_on_4,score_onlosing,0-0-0-1,5.0
25,train_on_4,score_onlosing,0-0-1-0,1.0
26,train_on_4,score_onlosing,1-0-0-0,3.0
27,train_on_4,score_onlosing,0-0-1-1,-2.0
28,train_on_4,score_onlosing,1-1-0-0,0.0
29,train_on_4,score_onlosing,1-0-0-1,-2.0
30,train_on_5,score_onall,0-0-0-0-0,10.0
31,train_on_5,score_onall,0-0-0-1-0,12.0
32,train_on_5,score_onall,0-1-0-0-0,7.0
33,train_on_5,score_onall,0-0-0-0-1,9.0
34,train_on_5,score_onall,1-0-0-0-0,10.0
35,train_on_5,score_onall,0-0-1-0-0,8.0
36,train_on_5,score_onall,1-0-0-1-0,4.0
37,train_on_5,score_onall,0-1-0-1-0,8.0
38,train_on_5,score_onall,1-0-1-0-0,5.0
39,train_on_5,score_onall,1-1-0-0-0,5.0
40,train_on_5,score_onall,0-1-0-0-1,7.0
41,train_on_5,score_onall,0-1-1-0-0,1.0
42,train_on_5,score_onall,1-1-0-0-1,5.0
43,train_on_5,score_onall,0-0-0-1-1,5.0
44,train_on_5,score_onall,1-0-0-0-1,1.0
45,train_on_5,score_onall,1-0-0-1-1,1.0
46,train_on_5,score_onall,0-0-1-1-0,-1.0
47,train_on_5,score_onall,0-1-0-1-1,5.0
48,train_on_5,score_onwinning,0-0-0-0-0,0.0
49,train_on_5,score_onwinning,0-1-0-0-0,3.0
50,train_on_5,score_onwinning,0-0-1-0-0,3.0
51,train_on_5,score_onwinning,0-0-0-1-0,5.0
52,train_on_5,score_onwinning,1-0-0-0-0,3.0
53,train_on_5,score_onwinning,0-0-1-1-0,2.0
54,train_on_5,score_onwinning,0-0-0-0-1,3.0
55,train_on_5,score_onwinning,0-0-0-1-1,4.0
56,train_on_5,score_onwinning,0-1-0-1-0,2.0
57,train_on_5,score_onwinning,1-0-0-1-0,2.0
58,train_on_5,score_onwinning,1-1-0-0-0,2.0
59,train_on_5,score_onwinning,0-0-1-0-1,4.0
60,train_on_5,score_onwinning,1-0-0-1-1,3.0
61,train_on_5,score_onwinning,1-0-1-0-0,2.0
62,train_on_5,score_onwinning,1-0-0-0-1,2.0
63,train_on_5,score_onlosing,0-0-0-0-0,10.0
64,train_on_5,score_onlosing,0-0-0-1-0,2.0
65,train_on_5,score_onlosing,1-0-0-0-0,4.0
66,train_on_5,score_onlosing,0-1-0-0-0,2.0
67,train_on_5,score_onlosing,0-0-1-0-0,4.0
68,train_on_5,score_onlosing,1-0-0-1-0,3.0
69,train_on_5,score_onlosing,0-0-1-1-0,-1.0
70,train_on_5,score_onlosing,0-0-0-0-1,6.0
71,train_on_5,score_onlosing,0-0-0-1-1,-3.0
72,train_on_5,score_onlosing,1-0-1-0-0,1.0
73,train_on_5,score_onlosing,0-1-0-1-0,1.0
74,train_on_5,score_onlosing,1-0-0-0-1,3.0
